Hour,Charging_Power,Discharging_Power,State_of_Charge,Price
1,0.0,10.0,20.0,175.71135
2,1.8903591682419665,0.0,21.73913043478261,253.40588
3,0.0,10.0,10.869565217391305,495.18646
4,0.0,10.0,0.0,486.88043
5,0.0,0.0,0.0,237.50584
6,0.0,0.0,0.0,180.9986
7,0.0,0.0,0.0,150.92249
8,0.0,0.0,0.0,135.70316
9,0.0,0.0,0.0,123.24101
10,0.0,0.0,0.0,116.5591
11,0.0,0.0,0.0,109.02268
12,0.0,0.0,0.0,104.78927
13,0.0,0.0,0.0,102.12315
14,0.0,0.0,0.0,101.47
15,0.0,0.0,0.0,95.50233
16,9.999999999999998,0.0,9.2,85.96175
17,10.0,0.0,18.4,62.51618
18,10.0,0.0,27.6,65.11132
19,9.999999999999993,0.0,36.8,81.2253
20,0.0,0.0,36.8,99.4366
21,0.0,3.8560000000000034,32.608695652173914,113.29376
22,0.0,10.0,21.73913043478261,134.84
23,0.0,10.0,10.869565217391305,149.1978
24,0.0,10.0,0.0,152.44786
25,9.999999999999998,0.0,9.2,164.4551
26,10.0,0.0,18.4,222.45683
27,0.0,6.928000000000002,10.869565217391305,410.92633
28,0.0,10.0,0.0,444.7922
29,0.0,0.0,0.0,233.78041
30,0.0,0.0,0.0,168.96281
31,0.0,0.0,0.0,148.58092
32,0.0,0.0,0.0,137.66177
33,0.0,0.0,0.0,127.40335
34,0.0,0.0,0.0,108.24172
35,0.0,0.0,0.0,107.70063
36,0.0,0.0,0.0,107.71866
37,0.0,0.0,0.0,104.96489
38,0.0,0.0,0.0,105.29016
39,1.3043478260869479,0.0,1.2,100.29896
40,10.0,0.0,10.4,94.35235
41,10.0,0.0,19.6,74.2322
42,9.999999999999996,0.0,28.8,77.44
43,10.0,0.0,38.0,93.66095
44,0.0,0.0,38.0,112.09058
45,0.0,4.959999999999999,32.608695652173914,138.65607
46,0.0,10.0,21.73913043478261,149.41139
47,0.0,10.0,10.869565217391305,152.01427
48,0.0,10.0,0.0,185.55952
49,9.999999999999998,0.0,9.2,233.14253
50,10.0,0.0,18.4,371.9866
51,0.0,6.928000000000002,10.869565217391305,841.65204
52,0.0,10.0,0.0,847.6081
53,0.0,0.0,0.0,356.48465
54,0.0,0.0,0.0,199.26901
55,0.0,0.0,0.0,164.79662
56,0.0,0.0,0.0,147.60754
57,0.0,0.0,0.0,140.54765
58,0.0,0.0,0.0,124.73914
59,0.0,0.0,0.0,125.52614
60,0.0,0.0,0.0,119.76
61,1.3043478260869479,0.0,1.2,119.61099
62,0.0,0.0,1.2,129.98
63,0.0,0.0,1.2,137.57222
64,10.0,0.0,10.4,117.1782
65,10.0,0.0,19.6,96.52498
66,9.999999999999996,0.0,28.8,101.74514
67,10.0,0.0,38.0,113.36966
68,0.0,0.0,38.0,120.98579
69,0.0,4.959999999999999,32.608695652173914,147.85072
70,0.0,10.0,21.73913043478261,171.94463
71,0.0,10.0,10.869565217391305,190.0
72,0.0,10.0,0.0,291.98102
73,9.999999999999998,0.0,9.2,404.48975
74,1.8147448015122865,0.0,10.869565217391305,937.38367
75,0.0,10.0,0.0,1196.2018
76,0.0,0.0,0.0,1093.7412
77,0.0,0.0,0.0,761.50354
78,0.0,0.0,0.0,234.7353
79,0.0,0.0,0.0,178.59122
80,0.0,0.0,0.0,157.15099
81,0.0,0.0,0.0,116.13236
82,0.0,0.0,0.0,110.48205
83,0.0,0.0,0.0,108.06209
84,1.3043478260869479,0.0,1.2,104.25282
85,0.0,0.0,1.2,104.27583
86,0.0,0.0,1.2,107.87838
87,0.0,0.0,1.2,112.8882
88,10.0,0.0,10.4,98.05235
89,10.0,0.0,19.6,82.79411
90,9.999999999999996,0.0,28.8,85.17524
91,10.0,0.0,38.0,94.00223
92,0.0,0.0,38.0,113.53762
93,0.0,4.959999999999999,32.608695652173914,141.5862
94,0.0,10.0,21.73913043478261,143.57713
95,0.0,10.0,10.869565217391305,181.15012
96,0.0,10.0,0.0,252.16006
97,9.999999999999998,0.0,9.2,375.39487
98,10.0,0.0,18.4,943.75616
